ID_token,price_diff,total_price,pred_price,fur_value,pattern_value,eye_shape_value,fur_value,accent_colour_value,base_colour_value,eye_colour_value,pattern_value,mouth_value,image_url_png,opensea
465580,-1.909889245023522,8.723575128463487,6.813685883439965,sphynx,amur,chronic,sphynx,sandalwood,bananacream,thundergrey,amur,grim,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/465580.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/465580
2211,-1.9091957800101724,10.79304963425577,8.883853854245597,munchkin,luckystripe,thicccbrowz,munchkin,kittencream,orangesoda,strawberry,luckystripe,soserious,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/2211.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/2211
19240,-1.9090681615269567,9.686887683724072,7.777819522197115,sphynx,totesbasic,thicccbrowz,sphynx,granitegrey,mauveover,topaz,totesbasic,happygokitty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/19240.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/19240
457915,-1.9023449723230375,8.863100983050588,6.96075601072755,ragdoll,luckystripe,thicccbrowz,ragdoll,granitegrey,aquamarine,thundergrey,luckystripe,pouty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/457915.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/457915
21688,-1.897051398375802,9.839498196308297,7.942446797932495,ragamuffin,totesbasic,crazy,ragamuffin,granitegrey,mauveover,topaz,totesbasic,pouty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/21688.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/21688
499377,-1.8863890683960838,8.322029210576359,6.435640142180275,birman,spangled,chronic,birman,azaleablush,bananacream,strawberry,spangled,happygokitty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/499377.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/499377
786065,-1.8833388551620578,8.513927358863524,6.630588503701467,pixiebob,rascal,slyboots,pixiebob,icy,cinderella,thundergrey,rascal,wuvme,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/786065.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/786065
1018,-1.866937935468421,10.522255554340774,8.655317618872353,ragamuffin,luckystripe,thicccbrowz,ragamuffin,kittencream,shadowgrey,mintgreen,luckystripe,happygokitty,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1018.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/1018
29118,-1.8526049335017092,10.007009388295112,8.154404454793402,cymric,totesbasic,thicccbrowz,cymric,granitegrey,greymatter,gold,totesbasic,saycheese,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/29118.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/29118
23803,-1.8416197619355321,9.830984993578044,7.989365231642512,sphynx,totesbasic,crazy,sphynx,granitegrey,mauveover,mintgreen,totesbasic,saycheese,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/23803.png,https://opensea.io/assets/0x06012c8cf97bead5deae237070f9587f8e7a266d/23803
