,ID_token,eye_shape_value,fur_value,accent_colour_value,base_colour_value,eye_colour_value,virginity_value,pattern_value,mouth_value,PU_rarity,secret_rarity,mouth_rarity,accent_colour_rarity,highlight_colour_rarity,base_colour_rarity,eye_shape_rarity,eye_colour_rarity,pattern_rarity,fur_rarity,overall_rarity_sum,image_url_png,total_price,pred_price,price_diff
200,1028014,slyboots,chantilly,kalahari,greymatter,olive,virgin,rascal,impish,0.0,0.0,0.049375246613179005,0.08938576877548336,0.1871103511771669,0.15951598053399973,0.1494410101275812,0.09285808233592004,0.16843351308693938,0.046534262791003554,0.9426542154412733,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1028014.png,6.581131857067137,6.696811534382903,0.11567967731576534
201,102965,thicccbrowz,sphynx,granitegrey,mauveover,mintgreen,virgin,totesbasic,saycheese,0.21686176509272656,0.0,0.025437327370774695,0.07281336314612653,0.19158227015651716,0.09914507431277128,0.21381033802446403,0.07391819018808365,0.15417598316454031,0.05169012232013679,1.099434433776141,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/102965.png,9.772405006066435,9.74801323568968,-0.024391770376755773
202,1029679,asif,ragdoll,icy,cottoncandy,olive,virgin,rascal,soserious,0.0,0.0,0.1696698671577009,0.1387084045771406,0.19113507825858214,0.1548599237143233,0.07233986584243061,0.09285808233592004,0.16843351308693938,0.16619755359726424,1.1542022885703012,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1029679.png,6.717599401226679,6.80299824317104,0.08539884194436098
203,1029803,asif,chantilly,cashewmilk,cinderella,dahlia,virgin,totesbasic,confuzzled,0.0,0.0,0.08854399579113507,0.1132973826121268,0.1871103511771669,0.15162435880573458,0.07233986584243061,0.12808102064974353,0.15417598316454031,0.046534262791003554,0.9417072208338813,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1029803.png,6.800020721877886,6.789363524862834,-0.010657197015052411
204,1029914,asif,chantilly,purplehaze,bananacream,dahlia,virgin,rorschach,impish,0.0,0.1333421018019203,0.049375246613179005,0.13881362620018414,0.19158227015651716,0.15051953176377747,0.07233986584243061,0.12808102064974353,0.13013284229909247,0.046534262791003554,1.0407207681178483,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1029914.png,6.794488831526702,6.79790292030534,0.0034140887786380247
205,1030242,slyboots,chantilly,purplehaze,greymatter,thundergrey,virgin,rascal,fangtastic,0.0,0.0,0.0531369196369854,0.13881362620018414,0.19158227015651716,0.15951598053399973,0.1494410101275812,0.12792318821517823,0.16843351308693938,0.046534262791003554,1.0353807707483886,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1030242.png,6.691859829810144,6.787286587983518,0.09542675817337365
206,1030421,chronic,chantilly,kalahari,brownies,dahlia,virgin,totesbasic,happygokitty,0.0,0.0,0.1881362620018414,0.08938576877548336,0.19292384585032224,0.115059844798106,0.1467052479284493,0.12808102064974353,0.15417598316454031,0.046534262791003554,1.0610022359594897,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1030421.png,7.037166895311013,6.753551457913545,-0.28361543739746775
207,1030509,chronic,ragdoll,frosting,cinderella,dahlia,virgin,amur,confuzzled,0.0,0.0,0.08854399579113507,0.16572405629356832,0.19292384585032224,0.15162435880573458,0.1467052479284493,0.12808102064974353,0.15820071024595556,0.16619755359726424,1.1980007891621727,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1030509.png,6.741078910132521,6.786334360479329,0.04525545034680789
208,103169,googly,ragamuffin,kittencream,salmon,sizzurp,virgin,totesbasic,happygokitty,0.19460739181901882,0.0,0.1881362620018414,0.07276075233460476,0.2014467973168486,0.02996185716164672,0.01954491648033671,0.045482046560568194,0.15417598316454031,0.02491121925555702,0.9310272260949625,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/103169.png,10.601139197745267,10.22172928369524,-0.37940991405002755
209,1032093,asif,koladiviya,kalahari,bananacream,dahlia,virgin,rascal,happygokitty,0.0,0.0,0.1881362620018414,0.08938576877548336,0.19292384585032224,0.15051953176377747,0.07233986584243061,0.12808102064974353,0.16843351308693938,0.17919242404314087,1.1690122320136789,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1032093.png,6.859822833224615,6.7921526623554875,-0.06767017086912741
210,1032198,chronic,chantilly,icy,greymatter,olive,virgin,totesbasic,fangtastic,0.0,0.0,0.0531369196369854,0.1387084045771406,0.19292384585032224,0.15951598053399973,0.1467052479284493,0.09285808233592004,0.15417598316454031,0.046534262791003554,0.9845587268183612,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1032198.png,6.613439976638326,6.75368351531325,0.14024353867492412
211,1032460,slyboots,ragdoll,frosting,cinderella,sapphire,virgin,rascal,happygokitty,0.0,0.0,0.1881362620018414,0.16572405629356832,0.1871103511771669,0.15162435880573458,0.1494410101275812,0.11792713402604235,0.16843351308693938,0.16619755359726424,1.2945942391161385,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1032460.png,6.965255998782281,6.698924682419842,-0.26633131636243856
212,1032499,asif,koladiviya,frosting,bananacream,dahlia,virgin,rascal,fangtastic,0.0,0.0,0.0531369196369854,0.16572405629356832,0.19113507825858214,0.15051953176377747,0.07233986584243061,0.12808102064974353,0.16843351308693938,0.17919242404314087,1.1085624095751678,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1032499.png,6.3425459764710785,6.776298455472042,0.4337524790009635
213,1034038,thicccbrowz,selkirk,kalahari,bananacream,dahlia,virgin,rorschach,confuzzled,0.0,0.15722741023280284,0.08854399579113507,0.08938576877548336,0.19158227015651716,0.15051953176377747,0.21381033802446403,0.12808102064974353,0.13013284229909247,0.16454031303432856,1.3138234907273445,https://img.cryptokitties.co/0x06012c8cf97bead5deae237070f9587f8e7a266d/1034038.png,6.852667425933288,6.6724361760086035,-0.18023124992468453
